context_level,representation,outer_fold,label,f1
L4,bert,2,0,0.7872860635696821
L4,bert,2,1,0.5975308641975308
L4,bert,2,2,0.775
L4,bert,2,3,0.8498727735368956
L4,bert,2,4,0.8329177057356607
L4,bert,2,5,0.7775175644028103
L4,bert,2,6,0.8768472906403941
L4,bert,2,7,0.7715736040609137
L4,bert,2,8,0.5120000000000001
L4,bert,2,9,0.7538461538461538
L4,bert,3,0,0.7766990291262137
L4,bert,3,1,0.5481481481481482
L4,bert,3,2,0.7845036319612592
L4,bert,3,3,0.8206388206388205
L4,bert,3,4,0.8166259168704156
L4,bert,3,5,0.7058823529411764
L4,bert,3,6,0.8729016786570744
L4,bert,3,7,0.7546174142480211
L4,bert,3,8,0.4538258575197889
L4,bert,3,9,0.7164948453608248
L4,bert,4,0,0.7751196172248804
L4,bert,4,1,0.5835294117647059
L4,bert,4,2,0.7960687960687962
L4,bert,4,3,0.880597014925373
L4,bert,4,4,0.8498727735368956
L4,bert,4,5,0.7506172839506172
L4,bert,4,6,0.8778054862842893
L4,bert,4,7,0.7788944723618091
L4,bert,4,8,0.49729729729729727
L4,bert,4,9,0.7244094488188977
L4,bert,5,0,0.8101851851851851
L4,bert,5,1,0.5902439024390244
L4,bert,5,2,0.8179551122194513
L4,bert,5,3,0.8706467661691543
L4,bert,5,4,0.8375634517766498
L4,bert,5,5,0.7681159420289855
L4,bert,5,6,0.8528678304239402
L4,bert,5,7,0.8010204081632654
L4,bert,5,8,0.5721784776902887
L4,bert,5,9,0.7238605898123324
L4,bert,6,0,0.8009828009828011
L4,bert,6,1,0.6
L4,bert,6,2,0.8020050125313284
L4,bert,6,3,0.8746928746928748
L4,bert,6,4,0.8287841191066998
L4,bert,6,5,0.7391304347826086
L4,bert,6,6,0.8369829683698298
L4,bert,6,7,0.7669172932330828
L4,bert,6,8,0.5459459459459459
L4,bert,6,9,0.735
L4,bert,7,0,0.8164251207729468
L4,bert,7,1,0.5586034912718204
L4,bert,7,2,0.7969543147208122
L4,bert,7,3,0.8628428927680798
L4,bert,7,4,0.8325123152709358
L4,bert,7,5,0.7707317073170733
L4,bert,7,6,0.8478802992518704
L4,bert,7,7,0.7886597938144329
L4,bert,7,8,0.5202020202020201
L4,bert,7,9,0.7609254498714654
L4,bert,8,0,0.7841191066997518
L4,bert,8,1,0.5871121718377088
L4,bert,8,2,0.7813267813267813
L4,bert,8,3,0.8535353535353536
L4,bert,8,4,0.8277634961439589
L4,bert,8,5,0.7511737089201878
L4,bert,8,6,0.8710462287104622
L4,bert,8,7,0.7826086956521738
L4,bert,8,8,0.49591280653950953
L4,bert,8,9,0.7058823529411764
L4,bert,9,0,0.7780548628428928
L4,bert,9,1,0.5931372549019609
L4,bert,9,2,0.78
L4,bert,9,3,0.8634146341463415
L4,bert,9,4,0.845771144278607
L4,bert,9,5,0.8058968058968059
L4,bert,9,6,0.8446601941747572
L4,bert,9,7,0.7577319587628866
L4,bert,9,8,0.5157894736842104
L4,bert,9,9,0.7500000000000001
L4,bert,10,0,0.7783251231527093
L4,bert,10,1,0.6447058823529411
L4,bert,10,2,0.7568922305764411
L4,bert,10,3,0.8781725888324873
L4,bert,10,4,0.8161209068010077
L4,bert,10,5,0.7567567567567567
L4,bert,10,6,0.8513853904282116
L4,bert,10,7,0.7578947368421052
L4,bert,10,8,0.5691489361702127
L4,bert,10,9,0.7541766109785203
