context_level,representation,outer_fold,label,f1
L3,tfidf_pos,2,1,0.5217391304347827
L3,tfidf_pos,2,2,0.739240506329114
L3,tfidf_pos,2,3,0.855
L3,tfidf_pos,2,4,0.8170426065162906
L3,tfidf_pos,2,5,0.72
L3,tfidf_pos,2,6,0.8353808353808354
L3,tfidf_pos,2,7,0.8138297872340425
L3,tfidf_pos,2,8,0.53
L3,tfidf_pos,2,9,0.7015706806282723
L3,tfidf_pos,3,0,0.7722772277227723
L3,tfidf_pos,3,1,0.47028423772609823
L3,tfidf_pos,3,2,0.7194244604316548
L3,tfidf_pos,3,3,0.8428927680798004
L3,tfidf_pos,3,4,0.8098765432098766
L3,tfidf_pos,3,5,0.7233009708737864
L3,tfidf_pos,3,6,0.8028846153846153
L3,tfidf_pos,3,7,0.7924528301886793
L3,tfidf_pos,3,8,0.4788029925187032
L3,tfidf_pos,3,9,0.6787564766839379
L3,tfidf_pos,4,0,0.742014742014742
L3,tfidf_pos,4,1,0.5011600928074246
L3,tfidf_pos,4,2,0.7365853658536585
L3,tfidf_pos,4,3,0.8578811369509043
L3,tfidf_pos,4,4,0.7669902912621359
L3,tfidf_pos,4,5,0.7732696897374702
L3,tfidf_pos,4,6,0.800995024875622
L3,tfidf_pos,4,7,0.779291553133515
L3,tfidf_pos,4,8,0.5065274151436031
L3,tfidf_pos,4,9,0.6596858638743456
L3,tfidf_pos,5,0,0.8019559902200488
L3,tfidf_pos,5,1,0.4962406015037594
L3,tfidf_pos,5,2,0.7637231503579952
L3,tfidf_pos,5,3,0.8341968911917099
L3,tfidf_pos,5,4,0.8181818181818183
L3,tfidf_pos,5,5,0.7737226277372262
L3,tfidf_pos,5,6,0.8337349397590361
L3,tfidf_pos,5,7,0.8440860215053764
L3,tfidf_pos,5,8,0.5138539042821159
L3,tfidf_pos,5,9,0.686868686868687
L3,tfidf_pos,6,0,0.7719298245614035
L3,tfidf_pos,6,1,0.5170731707317073
L3,tfidf_pos,6,2,0.7571428571428572
L3,tfidf_pos,6,3,0.8423772609819121
L3,tfidf_pos,6,4,0.7830423940149626
L3,tfidf_pos,6,5,0.711217183770883
L3,tfidf_pos,6,6,0.8142857142857142
L3,tfidf_pos,6,7,0.8083989501312336
L3,tfidf_pos,6,8,0.4289693593314763
