context_level,model,outer_fold,label,f1
L4,bilstm_word2vec,7,4,0.36363636363636365
L4,bilstm_word2vec,7,5,0.27450980392156865
L4,bilstm_word2vec,7,6,0.5794701986754967
L4,bilstm_word2vec,7,7,0.4771573604060913
L4,bilstm_word2vec,7,8,0.3738872403560831
L4,bilstm_word2vec,7,9,0.25925925925925924
L4,bilstm_word2vec,8,0,0.6068965517241379
L4,bilstm_word2vec,8,1,0.3515151515151515
L4,bilstm_word2vec,8,2,0.5593220338983051
L4,bilstm_word2vec,8,3,0.6043737574552683
L4,bilstm_word2vec,8,4,0.37900874635568516
L4,bilstm_word2vec,8,5,0.4587155963302752
L4,bilstm_word2vec,8,6,0.6258205689277899
L4,bilstm_word2vec,8,7,0.3765432098765432
L4,bilstm_word2vec,8,8,0.3798219584569733
L4,bilstm_word2vec,8,9,0.4352617079889807
L4,bilstm_word2vec,9,0,0.6247086247086248
L4,bilstm_word2vec,9,1,0.3209876543209877
L4,bilstm_word2vec,9,2,0.4835164835164835
L4,bilstm_word2vec,9,3,0.6981627296587927
L4,bilstm_word2vec,9,4,0.5077720207253886
L4,bilstm_word2vec,9,5,0.3448275862068966
L4,bilstm_word2vec,9,6,0.6487804878048781
L4,bilstm_word2vec,9,7,0.4133611691022965
L4,bilstm_word2vec,9,8,0.33175355450236965
L4,bilstm_word2vec,9,9,0.33757961783439494
L4,bilstm_word2vec,10,0,0.6351706036745407
L4,bilstm_word2vec,10,1,0.41604010025062654
L4,bilstm_word2vec,10,2,0.54337899543379
L4,bilstm_word2vec,10,3,0.6200466200466201
L4,bilstm_word2vec,10,4,0.5258215962441315
L4,bilstm_word2vec,10,5,0.3402061855670104
L4,bilstm_word2vec,10,6,0.6700251889168767
L4,bilstm_word2vec,10,7,0.46616541353383467
L4,bilstm_word2vec,10,8,0.3990147783251231
L4,bilstm_word2vec,10,9,0.4629080118694362
